date,value
2021-01-01,112
2021-02-01,118
2021-03-01,121
2021-04-01,119
2021-05-01,126
2021-06-01,132
2021-07-01,138
2021-08-01,136
2021-09-01,141
2021-10-01,147
2021-11-01,152
2021-12-01,158
2022-01-01,161
2022-02-01,166
2022-03-01,170
2022-04-01,168
2022-05-01,175
2022-06-01,181
2022-07-01,186
2022-08-01,184
2022-09-01,189
2022-10-01,195
2022-11-01,201
2022-12-01,208
2023-01-01,211
2023-02-01,216
2023-03-01,222
2023-04-01,219
2023-05-01,227
2023-06-01,233
2023-07-01,238
2023-08-01,236
2023-09-01,242
2023-10-01,248
2023-11-01,255
2023-12-01,262
